"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2024-07-25","90.1","-0.84","5.99","Cease, Dylan",545121,656302,,"ball",,,,,14,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","B",,,0,0,2024,"0.26","0.09","0.94","0.38",,,,0,9,"Bot",,,,,,,3.8768024908694505,-131.09328392113412,-8.230292932518738,2.219519375796053,25.430513897574745,-29.75086864340459,"3.36","1.43",,,,"90.6",2683,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.09",,,,,,,,60,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",113,"0","0.038",,,,"-0.038",,-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.7","-0.26","0.26","52.3",,,,,
"FF","2024-07-25","99.1","-0.89","6.18","Cease, Dylan",671277,656302,"field_out","hit_into_play",,,,,5,"Luis García Jr. grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","L","R","WSH","SD","X",6,"ground_ball",1,1,2024,"-0.34","1.23","0.11","2.81",,,,2,8,"Bot",118.27,146.32,,,,,3.5450195261973745,-144.2284521714449,-6.703653438247102,-5.5983651385032775,31.6352186751715,-13.59102616942301,"3.49","1.68",15,"104.7",-10,"99.4",2542,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.18",0.326,0.284,"0",1,0,0,2,55,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",183,"-0.008","-0.244","68.7","6.4",0.355,"0.244","104.7",-3,-3,"0.039","0.039",28,24,29,24,3,2,5,1,6,1,"1.08","0.34","-0.34","54.5",-1.4591587106137134,17.28546979444376,25.98302339193078,37.40897284100225,20.363973017698918
"KC","2024-07-25","85.2","-0.99","6.06","Cease, Dylan",671277,656302,,"swinging_strike",,,,,13,"Luis García Jr. grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,1,0,2024,"0.03","-1.3","-0.4","0.24",,,,2,8,"Bot",,,,,,,1.3302455361295944,-124.0748118370174,-4.732427091060882,0.05432029345329326,25.93943020608049,-44.777234046348156,"3.49","1.68",,,,"85.4",2784,"6.5",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.02",,,,,,,,55,2,"Knuckle Curve",0,3,0,3,3,0,0,3,"Standard","Standard",31,"0","-0.051","75.9","8.6",,"0.051",,-3,-3,"0.039","0.039",28,24,29,24,3,2,5,1,6,1,"4.44","-0.03","0.03","54.9",19.385920080764016,-22.059298018814463,33.92120055243682,43.03999094318407,46.24043126455109
"KC","2024-07-25","86.1","-0.82","6.08","Cease, Dylan",671277,656302,,"ball",,,,,14,"Luis García Jr. grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","L","R","WSH","SD","B",,,0,0,2024,"-0.06","-1.08","0.46","1.34",,,,2,8,"Bot",,,,,,,3.1691068645867735,-125.4008054719595,-2.837851215962803,-1.244400260923535,25.792569615720026,-43.1496734152081,"3.52","1.67",,,,"86.3",2807,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.08",,,,,,,,55,1,"Knuckle Curve",0,3,0,3,3,0,0,3,"Standard","Standard",32,"0","0.04",,,,"-0.04",,-3,-3,"0.039","0.039",28,24,29,24,3,2,5,1,6,1,"4.15","0.06","-0.06","52.4",,,,,
"SL","2024-07-25","90.3","-1.09","6.05","Cease, Dylan",660688,656302,"field_out","hit_into_play",,,,,7,"Keibert Ruiz grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","X",4,"ground_ball",0,0,2024,"0.03","0.22","-0.54","1.53",,,,1,8,"Bot",155.32,151.91,,,,,1.3251938398033016,-131.546449051595,-5.837454601258113,0.06441227141602446,26.81461365560781,-28.580238955908,"3.37","1.57",13,"103",-6,"90.6",2789,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.17",0.36,0.279,"0",1,0,0,2,54,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",110,"-0.015","-0.256","72.3","7.2",0.408,"0.256","103.0",-3,-3,"0.054","0.054",28,25,29,26,3,2,5,2,6,1,"2.56","-0.03","0.03","50.3",5.96874733109364,-3.948664937722237,35.596448795572705,37.38451758143877,37.686628245820216
"SL","2024-07-25","90.3","-1.23","5.96","Cease, Dylan",695578,656302,"strikeout","swinging_strike",,,,,4,"James Wood strikes out swinging.","R","L","R","WSH","SD","S",2,,2,2,2024,"-0.05","0.23","-0.6","2.73",,,,0,8,"Bot",,,,,,,1.6821741862980013,-131.6204774220096,-2.6148312856534996,-0.97722383699214,26.989605613787223,-29.180114218048164,"3.86","1.78",,,,"90.6",2735,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.22",,0,"0",1,0,0,,53,5,"Slider",0,3,0,3,3,0,0,3,"Infield shade","Standard",117,"-0.025","-0.227","67.1","6.3",,"0.227",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"2.55","0.05","-0.05","44.1",-14.32237302238181,30.99644232004852,37.45691339792846,44.63563900380774,6.611233145357844
"FF","2024-07-25","99.2","-1.01","6.17","Cease, Dylan",695578,656302,,"swinging_strike",,,,,11,"James Wood strikes out swinging.","R","L","R","WSH","SD","S",,,2,1,2024,"-0.04","1.38","-0.26","4.03",,,,0,8,"Bot",,,,,,,2.164320473726994,-144.4511443484819,-3.679764068336174,-1.0400055269709902,32.64831421425211,-12.211778693020294,"3.86","1.78",,,,"99.6",2636,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.08",,,,,,,,53,4,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",190,"0","-0.069","74.7","6.2",,"0.069",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"0.93","0.04","-0.04","52.5",-0.516553945259732,25.212743248901415,29.292481853788267,40.52400664823039,16.397034788457514
"FF","2024-07-25","98.3","-0.96","6.15","Cease, Dylan",695578,656302,,"called_strike",,,,,1,"James Wood strikes out swinging.","R","L","R","WSH","SD","S",,,2,0,2024,"-0.18","1.43","-0.78","3.11",,,,0,8,"Bot",,,,,,,0.9100438847150426,-143.20284567877675,-6.147743660194867,-2.6910662758206394,31.404535038081136,-11.235938662903358,"3.73","1.69",,,,"98.8",2615,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.08",,,,,,,,53,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",189,"0","-0.065",,,,"0.065",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"0.91","0.18","-0.18","50.6",,,,,
"FF","2024-07-25","97.9","-0.91","6.22","Cease, Dylan",695578,656302,,"ball",,,,,9,"James Wood strikes out swinging.","R","L","R","WSH","SD","B",,,1,0,2024,"-0.06","1.34","0.37","2.02",,,,0,8,"Bot",,,,,,,3.60700769835534,-142.3492399503,-8.95697691325157,-1.5668050755895477,30.372762921658794,-12.081462843046461,"3.62","1.64",,,,"98.2",2640,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.17",,,,,,,,53,2,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",181,"0","0.069",,,,"-0.069",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"1.02","0.06","-0.06","56.0",,,,,
"FF","2024-07-25","98.8","-1.06","6.23","Cease, Dylan",695578,656302,,"ball",,,,,11,"James Wood strikes out swinging.","R","L","R","WSH","SD","B",,,0,0,2024,"-0.34","1.21","-0.55","4.53",,,,0,8,"Bot",,,,,,,2.1879560952197434,-143.99364575147123,-2.075564645052402,-5.228356289712775,31.165437177997248,-14.985727844166673,"3.64","1.66",,,,"99.3",2585,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.15",,,,,,,,53,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",192,"0","0.038",,,,"-0.038",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"1.1","0.34","-0.34","55.8",,,,,
